# palette_id	ui_fit	hex_colors (5-6 per palette)
cmbhd9zz50000ie0bq8mvvllg	accent-only	#3b57e9,#129832,#eb5f5f,#6a8aa7,#cc9a97,#4f392b
cmbhd4iii000alb0c9ndgdr0b	accent-only	#f4b454,#6f2f2d,#f2b767,#7d7c41,#6a4532,#b4d7ba
cmbh8tddu0016kz0cirevhghu	dark-ui	#049cd4,#370bb1,#e7a795,#7b5da1,#362a5d,#a495bf
cmbh7lxm60006kz0bv6coe38i	dark-ui	#27bca8,#0c344c,#e8c092,#a15a69,#2c4550,#b6c0c7
cmbh1xo0w000il40csp4nau8o	accent-only	#1c4bd9,#1c348d,#aa82f5,#755ba3,#2c3166,#bfbfbf
cmbh044at0010l20c7cohyggr	dark-ui	#bf9b97,#c4504a,#550d0c,#f6c1c1,#797d7d,#444c48
cmbh03b1z001ii80bc8409qqw	light-ui	#2c4454,#a4bccc,#14dc34,#04c421,#85f397,#658aa0
cmbh02pij000ajs0d8hs7ppcc	dark-ui	#05ef2b,#9a0404,#d47479,#5c8c9c,#344047,#a2baca
cmbh029ea000qi80b3n02pusl	dark-ui	#e60505,#d7545c,#775fad,#2c415c,#ccb8dc,#9b0404
cmbh01ndn0000i80bkglnssmv	accent-only	#a2b9c8,#e70404,#ca5c5c,#2c425c
cmbgx03sw0000l40ccfsmeppm	accent-only	#f69634,#442cb3,#e5c487,#8674c3,#3a4151,#c9d3ac
cmbgw5jh8001il80dbq9p5u5y	dark-ui	#081e7a,#fb6457,#7d575e,#4d3631,#d4b9c0,#fc4366
cmbgvqwa2000ul80dq0iqsspj	accent-only	#5c4336,#b36d4b,#553424,#d7b3a1,#8d6c54,#d5b9a8
cmbgvhg2q000al10dw5c7qduy	accent-only	#f09406,#d40b19,#f07277,#808686,#2e5639,#c4cccc
cmbgudv7f000uk10c2o18gpeh	dark-ui,light-ui	#8ee5ef,#5e5ea6,#36344c,#babbcb,#46d2e5,#04047e
cmbgr2y2s0000ji0c4k4tv3zh	dark-ui	#0755b1,#6b223a,#d6b1a5,#6f9a85,#3f2139,#693d2f
cmbgqiod50002l40ca5we3dpt	accent-only	#da2827,#63a67b,#5e6069,#9aa7c1,#1ba34c,#95ace9
cmbgqi0kg000cl70cz9pg1nex	accent-only	#82251d,#e3a35c,#a88562,#d44e1f,#c9b89d,#594531
cmbgpyypv0008jr0llgycof4e	light-ui	#8c1545,#aa5777,#c8d0e3,#a04464,#fcf6e4,#474747
cmbgpufuq000cl10cayhi4f7m	light-ui	#d7d4a6,#50944d,#2e512e,#c6a692,#dca31a,#328609
cmbgoxrax000ck10d1hz1c3ud	dark-ui	#3a2d27,#a0d4d4,#6061f6,#042988,#f0ac72,#a6685b
cmbgotlms0002l20bruw2hg8a	accent-only	#2c3444,#b4bccc,#04ca54,#f49497,#74849c,#145cfc
cmbgnf4lx0002l20cfourjdhy	dark-ui	#0d0558,#486adf,#906864,#4e342e,#27a7db,#c4c9d9
cmbgn006c000ul80djh79mdpg	light-ui	#6f9a56,#483436,#bcb494,#c5bc37,#575b29,#e2dd97
cmbgmt8dy0004l80bgyq66oai	accent-only	#462c25,#c6bda9,#8c4523,#94ccdc,#8f6858,#c47458
cmbgmn8he000mjx0d112kyo9v	accent-only	#977f67,#c9bcb0,#947966,#cfc4b9,#4e4235,#434443
cmbgmksqm0027l80dphgpondn	accent-only	#04843c,#44a174,#5e9f80,#604c34,#a3ccbc,#a2d4bc
cmbgmkphg001ol80ditm8rb8f	accent-only	#b4b7bc,#12a3fb,#052fa6,#f8b095,#a9835e,#4c4441
cmbgmfhh8001elb0bplgstgtv	dark-ui	#8c5cfb,#c4d0dc,#121213,#5b1af1,#2bac8c,#736989
cmbgmepwn0010jo0cwf8lylbz	accent-only	#5baa80,#505454,#a1cfb8,#048c44,#5ec991,#04c45c
