# animation	family	category	default_duration	default_easing	default_fill_mode
scale-out-left	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-tl	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-horizontal	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-hor-left	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-hor-right	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-vertical	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-ver-top	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
scale-out-ver-bottom	scale-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-center	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-top	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-tr	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-right	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-br	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-bottom	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-bl	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-left	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bck-tl	slide-out-bck	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-blurred-top	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-tr	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-right	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-br	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-bottom	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-bl	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-left	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-blurred-tl	slide-out-blurred	exits	.45s	cubic-bezier(.755,.05,.855,.06)	both
slide-out-elliptic-top-bck	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-top-fwd	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-right-bck	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-right-fwd	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-bottom-bck	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-bottom-fwd	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-left-bck	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-elliptic-left-fwd	slide-out-elliptic	exits	.7s	ease-in	both
slide-out-fwd-center	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-top	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-tr	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-right	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-br	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-bottom	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-bl	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-left	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-fwd-tl	slide-out-fwd	exits	.7s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-top	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-tr	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-right	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-br	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bottom	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-bl	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-left	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slide-out-tl	slide-out	exits	.5s	cubic-bezier(.55,.085,.68,.53)	both
slit-out-vertical	slit-out	exits	.5s	ease-in	both
slit-out-horizontal	slit-out	exits	.5s	ease-in	both
slit-out-diagonal-1	slit-out	exits	.5s	ease-in	both
slit-out-diagonal-2	slit-out	exits	.5s	ease-in	both
swing-out-top-bck	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-top-fwd	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-right-bck	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-right-fwd	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-bottom-bck	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-bottom-fwd	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-left-bck	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swing-out-left-fwd	swing-out	exits	.45s	cubic-bezier(.6,-.28,.735,.045)	both
swirl-out-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-top-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-top-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-tr-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-tr-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-right-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-right-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-br-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-br-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-bottom-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-bottom-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-bl-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-bl-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-left-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-left-fwd	swirl-out	exits	.6s	ease-in)	both
swirl-out-tl-bck	swirl-out	exits	.6s	ease-in)	both
swirl-out-tl-fwd	swirl-out	exits	.6s	ease-in)	both
text-blur-out	blur-out	text	1.2s	cubic-bezier(.55,.085,.68,.53)	both
blur-out-contract	blur-out	text	1.2s	cubic-bezier(.55,.085,.68,.53)	both
blur-out-contract-bck	blur-out	text	1.2s	cubic-bezier(.55,.085,.68,.53)	both
blur-out-expand	blur-out	text	1.2s	cubic-bezier(.55,.085,.68,.53)	both
blur-out-expand-fwd	blur-out	text	1.2s	cubic-bezier(.55,.085,.68,.53)	both
text-flicker-in-glow	flicker	text	4s	linear	both
text-flicker-out-glow	flicker	text	4s	linear	both
text-focus-in	focus-in	text	.8s	cubic-bezier(.55,.085,.68,.53)	both
focus-in-expand	focus-in	text	.8s	cubic-bezier(.55,.085,.68,.53)	both
focus-in-expand-fwd	focus-in	text	.8s	cubic-bezier(.55,.085,.68,.53)	both
focus-in-contract	focus-in	text	.8s	cubic-bezier(.55,.085,.68,.53)	both
focus-in-contract-bck	focus-in	text	.8s	cubic-bezier(.55,.085,.68,.53)	both
text-pop-up-top	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-tr	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-right	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-br	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-bottom	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-bl	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-left	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-pop-up-tl	pop-up	text	.5s	cubic-bezier(.25,.46,.45,.94)	both
text-shadow-drop-center	shadow-drop	text	.6s		both
text-shadow-drop-top	shadow-drop	text	.6s		both
text-shadow-drop-tr	shadow-drop	text	.6s		both
text-shadow-drop-right	shadow-drop	text	.6s		both
text-shadow-drop-br	shadow-drop	text	.6s		both
text-shadow-drop-bottom	shadow-drop	text	.6s		both
text-shadow-drop-bl	shadow-drop	text	.6s		both
text-shadow-drop-left	shadow-drop	text	.6s		both
text-shadow-drop-tl	shadow-drop	text	.6s		both
text-shadow-pop-top	shadow-pop	text	.6s		both
text-shadow-pop-tr	shadow-pop	text	.6s		both
text-shadow-pop-right	shadow-pop	text	.6s		both
text-shadow-pop-br	shadow-pop	text	.6s		both
text-shadow-pop-bottom	shadow-pop	text	.6s		both
text-shadow-pop-bl	shadow-pop	text	.6s		both
text-shadow-pop-left	shadow-pop	text	.6s		both
text-shadow-pop-tl	shadow-pop	text	.6s		both
tracking-in-expand	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-expand-fwd	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-expand-fwd-top	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-expand-fwd-bottom	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-contract	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-contract-bck	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-contract-bck-top	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-in-contract-bck-bottom	tracking-in	text	.7s	cubic-bezier(.215,.61,.355,1.000)	both
tracking-out-contract	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-contract-bck	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-contract-bck-top	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-contract-bck-bottom	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-expand	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-expand-fwd	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-expand-fwd-top	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
tracking-out-expand-fwd-bottom	tracking-out	text	.7s	cubic-bezier(.55,.085,.68,.53)	both
simple-fade-in					
simple-fade-out					
rotate-90-bl-ccw					
rotate-90-bl-cw					
rotate-90-bottom-ccw					
rotate-90-bottom-cw					
rotate-90-br-ccw					
rotate-90-br-cw					
rotate-90-ccw					
rotate-90-cw					
rotate-90-left-ccw					
rotate-90-left-cw					
rotate-90-right-ccw					
rotate-90-right-cw					
rotate-90-tl-ccw					
rotate-90-tl-cw					
rotate-90-top-ccw					
rotate-90-top-cw					
rotate-90-tr-ccw					
rotate-90-tr-cw					
swing-bottom-bck					
fade-out-tr					
