# name	type	tags	description_or_title	npm_deps	payload_file
comp-28	component	input,label,button,number,react aria	input/label/button — variant 28	react-aria-components	vendor/origin/r/comp-28.json
comp-29	component	input,label,button,number,react aria	input/label/button — variant 29	react-aria-components	vendor/origin/r/comp-29.json
comp-30	component	input,label,file	input/label/file — variant 30		vendor/origin/r/comp-30.json
comp-31	component	input,label	input/label — variant 31		vendor/origin/r/comp-31.json
comp-32	component	input,label	input/label — variant 32		vendor/origin/r/comp-32.json
comp-33	component	input,label	input/label — variant 33		vendor/origin/r/comp-33.json
comp-34	component	input,label	input/label — variant 34		vendor/origin/r/comp-34.json
comp-35	component	input,label	input/label — variant 35		vendor/origin/r/comp-35.json
comp-36	component	input,label,date,react aria	input/label/date — variant 36	react-aria-components	vendor/origin/r/comp-36.json
comp-37	component	input,label,date,react aria	input/label/date — variant 37		vendor/origin/r/comp-37.json
comp-38	component	input,label,date,react aria	input/label/date — variant 38		vendor/origin/r/comp-38.json
comp-39	component	input,label,date,react aria	input/label/date — variant 39		vendor/origin/r/comp-39.json
comp-40	component	input,label,date,react aria	input/label/date — variant 40		vendor/origin/r/comp-40.json
comp-41	component	input,label,date,calendar,picker,react aria	input/label/date — variant 41	react-aria-components	vendor/origin/r/comp-41.json
comp-42	component	input,label,date,calendar,range calendar,picker,react aria	input/label/date — variant 42	react-aria-components	vendor/origin/r/comp-42.json
comp-43	component	input,label,date,calendar,range calendar,picker,react aria	input/label/date — variant 43	react-aria-components,react-aria,@internationalized/date	vendor/origin/r/comp-43.json
comp-44	component	input,label,otp	input/label/otp — variant 44	input-otp	vendor/origin/r/comp-44.json
comp-45	component	input,label,otp	input/label/otp — variant 45	input-otp	vendor/origin/r/comp-45.json
comp-46	component	input,label,phone	input/label/phone — variant 46	react-phone-number-input	vendor/origin/r/comp-46.json
comp-47	component	input,label,checkout,payment,credit card,form	input/label/checkout — variant 47	react-payment-inputs	vendor/origin/r/comp-47.json
comp-48	component	input,label,checkout,payment,credit card,form	input/label/checkout — variant 48	react-payment-inputs	vendor/origin/r/comp-48.json
comp-49	component	input,label,checkout,payment,credit card,form	input/label/checkout — variant 49	react-payment-inputs	vendor/origin/r/comp-49.json
comp-50	component	input,label,checkout,payment,credit card,form	input/label/checkout — variant 50	react-payment-inputs	vendor/origin/r/comp-50.json
comp-51	component	input,label,password	input/label/password — variant 51		vendor/origin/r/comp-51.json
comp-52	component	input,label,read-only	input/label/read-only — variant 52		vendor/origin/r/comp-52.json
comp-53	component	input,label,copy	input/label/copy — variant 53		vendor/origin/r/comp-53.json
