# rule_id	impact	wcag_tags	description	in_allowlist
frame-title	Serious	cat.text-alternatives,wcag2a,wcag412,section508,section508.22.i,TTv5,TT12.d,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-2.1.1	Ensure <iframe> and <frame> elements have an accessible name	no
html-has-lang	Serious	cat.language,wcag2a,wcag311,TTv5,TT11.a,EN-301-549,EN-9.3.1.1,ACT,RGAAv4,RGAA-8.3.1	Ensure every HTML document has a lang attribute	no
html-lang-valid	Serious	cat.language,wcag2a,wcag311,TTv5,TT11.a,EN-301-549,EN-9.3.1.1,ACT,RGAAv4,RGAA-8.4.1	Ensure the lang attribute of the <html> element has a valid value	no
html-xml-lang-mismatch	Moderate	cat.language,wcag2a,wcag311,EN-301-549,EN-9.3.1.1,ACT,RGAAv4,RGAA-8.3.1	Ensure that HTML elements with both valid lang and xml:lang attributes agree on the base language of the page	no
image-alt	Critical	cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,TTv5,TT7.a,TT7.b,EN-301-549,EN-9.1.1.1,ACT,RGAAv4,RGAA-1.1.1	Ensure <img> elements have alternative text or a role of none or presentation	yes
input-button-name	Critical	cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.9.1	Ensure input buttons have discernible text	yes
input-image-alt	Critical	cat.text-alternatives,wcag2a,wcag111,wcag412,section508,section508.22.a,TTv5,TT7.a,EN-301-549,EN-9.1.1.1,EN-9.4.1.2,ACT,RGAAv4,RGAA-1.1.3	Ensure <input type="image"> elements have alternative text	no
label	Critical	cat.forms,wcag2a,wcag412,section508,section508.22.n,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.1.1	Ensure every form element has a label	yes
link-in-text-block	Serious	cat.color,wcag2a,wcag141,TTv5,TT13.a,EN-301-549,EN-9.1.4.1,RGAAv4,RGAA-10.6.1	Ensure links are distinguished from surrounding text in a way that does not rely on color	yes
link-name	Serious	cat.name-role-value,wcag2a,wcag244,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.2.4.4,EN-9.4.1.2,ACT,RGAAv4,RGAA-6.2.1	Ensure links have discernible text	yes
list	Serious	cat.structure,wcag2a,wcag131,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-9.3.1	Ensure that lists are structured correctly	no
listitem	Serious	cat.structure,wcag2a,wcag131,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-9.3.1	Ensure <li> elements are used semantically	no
marquee	Serious	cat.parsing,wcag2a,wcag222,TTv5,TT2.b,EN-301-549,EN-9.2.2.2,RGAAv4,RGAA-13.8.1	Ensure <marquee> elements are not used	no
meta-refresh	Critical	cat.time-and-media,wcag2a,wcag221,TTv5,TT8.a,EN-301-549,EN-9.2.2.1,RGAAv4,RGAA-13.1.2	Ensure <meta http-equiv="refresh"> is not used for delayed refresh	no
meta-viewport	Moderate	cat.sensory-and-visual-cues,wcag2aa,wcag144,EN-301-549,EN-9.1.4.4,ACT,RGAAv4,RGAA-10.4.2	Ensure <meta name="viewport"> does not disable text scaling and zooming	yes
nested-interactive	Serious	cat.keyboard,wcag2a,wcag412,TTv5,TT6.a,EN-301-549,EN-9.4.1.2,RGAAv4,RGAA-7.1.1	Ensure interactive controls are not nested as they are not always announced by screen readers or can cause focus problems for assistive technologies	yes
no-autoplay-audio	Moderate	cat.time-and-media,wcag2a,wcag142,TTv5,TT2.a,EN-301-549,EN-9.1.4.2,ACT,RGAAv4,RGAA-4.10.1	Ensure <video> or <audio> elements do not autoplay audio for more than 3 seconds without a control mechanism to stop or mute the audio	no
object-alt	Serious	cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,EN-301-549,EN-9.1.1.1,RGAAv4,RGAA-1.1.6	Ensure <object> elements have alternative text	no
role-img-alt	Serious	cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,TTv5,TT7.a,EN-301-549,EN-9.1.1.1,ACT,RGAAv4,RGAA-1.1.1	Ensure [role="img"] elements have alternative text	yes
scrollable-region-focusable	Serious	cat.keyboard,wcag2a,wcag211,wcag213,TTv5,TT4.a,EN-301-549,EN-9.2.1.1,EN-9.2.1.3,RGAAv4,RGAA-7.3.2	Ensure elements that have scrollable content are accessible by keyboard in Safari	yes
select-name	Critical	cat.forms,wcag2a,wcag412,section508,section508.22.n,TTv5,TT5.c,EN-301-549,EN-9.4.1.2,ACT,RGAAv4,RGAA-11.1.1	Ensure select element has an accessible name	yes
server-side-image-map	Minor	cat.text-alternatives,wcag2a,wcag211,section508,section508.22.f,TTv5,TT4.a,EN-301-549,EN-9.2.1.1,RGAAv4,RGAA-1.1.4	Ensure that server-side image maps are not used	no
summary-name	Serious	cat.name-role-value,wcag2a,wcag412,section508,section508.22.a,TTv5,TT6.a,EN-301-549,EN-9.4.1.2	Ensure summary elements have discernible text	yes
svg-img-alt	Serious	cat.text-alternatives,wcag2a,wcag111,section508,section508.22.a,TTv5,TT7.a,EN-301-549,EN-9.1.1.1,ACT,RGAAv4,RGAA-1.1.5	Ensure <svg> elements with an img, graphics-document or graphics-symbol role have accessible text	yes
td-headers-attr	Serious	cat.tables,wcag2a,wcag131,section508,section508.22.g,TTv5,TT14.b,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-5.7.4	Ensure that each cell in a table that uses the headers attribute refers only to other <th> elements in that table	no
th-has-data-cells	Serious	cat.tables,wcag2a,wcag131,section508,section508.22.g,TTv5,TT14.b,EN-301-549,EN-9.1.3.1,RGAAv4,RGAA-5.7.1	Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe	no
valid-lang	Serious	cat.language,wcag2aa,wcag312,TTv5,TT11.b,EN-301-549,EN-9.3.1.2,ACT,RGAAv4,RGAA-8.8.1	Ensure lang attributes have valid values	no
video-caption	Critical	cat.text-alternatives,wcag2a,wcag122,section508,section508.22.a,TTv5,TT17.a,EN-301-549,EN-9.1.2.2,RGAAv4,RGAA-4.3.1	Ensure <video> elements have captions	no
